event_id,event_ts,user_id,org,plan,event_type,device,duration_ms
e0001,2026-01-08T19:32:00.000Z,u164,Globex,Team,chart_apply,mobile,301
e0002,2026-01-01T08:10:00.000Z,u013,Synogize,Pro,query_run,mobile,739
e0003,2026-01-11T03:58:00.000Z,u154,Globex,Team,query_run,web,849
e0004,2026-01-15T18:04:00.000Z,u155,Synogize,Pro,chart_apply,mobile,757
e0005,2026-01-30T03:23:00.000Z,u092,Acme,Free,query_run,mobile,551
e0006,2026-01-21T15:29:00.000Z,u079,Acme,Free,query_run,web,1128
e0007,2026-01-28T02:06:00.000Z,u141,Synogize,Pro,query_error,web,1026
e0008,2026-01-23T18:21:00.000Z,u032,Synogize,Pro,chart_apply,mobile,845
e0009,2026-01-01T15:01:00.000Z,u145,Acme,Free,query_error,mobile,655
e0010,2026-01-25T15:03:00.000Z,u123,Acme,Free,export_csv,web,1192
e0011,2026-01-24T00:48:00.000Z,u127,Synogize,Pro,export_csv,web,630
e0012,2026-01-12T05:32:00.000Z,u008,Acme,Free,query_error,web,1234
e0013,2026-01-17T23:22:00.000Z,u167,Acme,Free,export_csv,web,1497
e0014,2026-01-06T12:06:00.000Z,u016,Acme,Free,export_csv,mobile,465
e0015,2026-01-13T06:56:00.000Z,u089,Globex,Team,chart_apply,mobile,774
e0016,2026-01-03T08:49:00.000Z,u184,Synogize,Pro,query_error,web,1167
e0017,2026-01-23T07:54:00.000Z,u168,Globex,Team,query_error,web,344
e0018,2026-01-19T01:13:00.000Z,u005,Globex,Team,login,mobile,1050
e0019,2026-01-17T02:26:00.000Z,u097,Synogize,Pro,chart_apply,web,489
e0020,2026-01-22T05:24:00.000Z,u135,Synogize,Pro,chart_apply,mobile,1308
e0021,2026-01-19T07:04:00.000Z,u109,Synogize,Pro,login,mobile,1106
e0022,2026-01-21T03:30:00.000Z,u066,Globex,Team,export_csv,web,1241
e0023,2026-01-29T02:29:00.000Z,u044,Globex,Team,query_error,mobile,906
e0024,2026-01-11T16:01:00.000Z,u177,Globex,Team,export_csv,web,1076
e0025,2026-01-09T19:41:00.000Z,u093,Synogize,Pro,export_csv,web,1474
