order_id,order_date,region,product,channel,quantity,unit_price,amount
1001,2026-02-06,EMEA,Doohickey,Partner,2,9.50,19.00
1002,2026-02-01,APAC,Gizmo,Partner,5,99.00,495.00
1003,2026-01-15,NA,Gizmo,Online,2,99.00,198.00
1004,2026-01-31,NA,Gizmo,Online,5,99.00,495.00
1005,2026-02-20,APAC,Gizmo,Online,3,99.00,297.00
1006,2026-01-04,APAC,Doohickey,Retail,1,9.50,9.50
1007,2026-01-11,NA,Gadget,Partner,4,49.00,196.00
1008,2026-01-27,APAC,Widget,Retail,6,19.99,119.94
1009,2026-01-15,EMEA,Widget,Online,8,19.99,159.92
1010,2026-02-21,EMEA,Widget,Online,3,19.99,59.97
1011,2026-01-05,EMEA,Gizmo,Partner,10,99.00,990.00
1012,2026-01-06,NA,Gadget,Partner,2,49.00,98.00
1013,2026-01-07,APAC,Gadget,Retail,7,49.00,343.00
1014,2026-02-23,APAC,Gizmo,Partner,3,99.00,297.00
1015,2026-02-12,APAC,Gizmo,Partner,2,99.00,198.00
1016,2026-03-01,EMEA,Doohickey,Retail,6,9.50,57.00
1017,2026-01-21,EMEA,Gadget,Partner,3,49.00,147.00
1018,2026-01-27,NA,Gizmo,Partner,9,99.00,891.00
1019,2026-01-26,EMEA,Gadget,Online,7,49.00,343.00
1020,2026-01-19,NA,Doohickey,Online,5,9.50,47.50
1021,2026-02-19,APAC,Doohickey,Online,8,9.50,76.00
1022,2026-02-11,APAC,Gadget,Online,7,49.00,343.00
1023,2026-01-21,APAC,Gizmo,Partner,4,99.00,396.00
1024,2026-02-17,EMEA,Widget,Partner,4,19.99,79.96
1025,2026-01-01,NA,Gizmo,Partner,10,99.00,990.00
1026,2026-01-13,EMEA,Gadget,Online,1,49.00,49.00
1027,2026-02-12,NA,Gadget,Online,4,49.00,196.00
1028,2026-01-02,APAC,Doohickey,Retail,10,9.50,95.00
1029,2026-01-10,APAC,Gizmo,Online,4,99.00,396.00
1030,2026-01-27,EMEA,Gizmo,Retail,4,99.00,396.00
1031,2026-02-23,APAC,Gadget,Retail,6,49.00,294.00
1032,2026-02-05,APAC,Gadget,Online,4,49.00,196.00
1033,2026-02-10,APAC,Widget,Partner,4,19.99,79.96
1034,2026-01-08,APAC,Widget,Retail,3,19.99,59.97
1035,2026-01-29,EMEA,Gizmo,Partner,9,99.00,891.00
1036,2026-01-27,APAC,Doohickey,Retail,9,9.50,85.50
1037,2026-02-23,EMEA,Widget,Retail,9,19.99,179.91
1038,2026-01-13,EMEA,Gizmo,Partner,5,99.00,495.00
1039,2026-02-21,NA,Gizmo,Online,1,99.00,99.00
1040,2026-01-11,EMEA,Gizmo,Partner,10,99.00,990.00
1041,2026-02-18,EMEA,Doohickey,Partner,6,9.50,57.00
1042,2026-01-22,EMEA,Doohickey,Partner,4,9.50,38.00
1043,2026-02-26,EMEA,Gadget,Partner,2,49.00,98.00
1044,2026-01-22,APAC,Widget,Retail,8,19.99,159.92
1045,2026-02-27,NA,Gadget,Partner,2,49.00,98.00
1046,2026-01-17,APAC,Widget,Online,5,19.99,99.95
1047,2026-02-04,NA,Doohickey,Partner,2,9.50,19.00
1048,2026-02-09,EMEA,Gadget,Retail,5,49.00,245.00
1049,2026-01-26,APAC,Gadget,Online,6,49.00,294.00
1050,2026-01-17,EMEA,Gizmo,Retail,5,99.00,495.00
1051,2026-01-09,APAC,Widget,Partner,1,19.99,19.99
1052,2026-02-22,EMEA,Gizmo,Online,9,99.00,891.00
1053,2026-01-04,EMEA,Widget,Partner,6,19.99,119.94
1054,2026-01-06,NA,Doohickey,Retail,8,9.50,76.00
1055,2026-02-02,NA,Gizmo,Online,1,99.00,99.00
1056,2026-01-06,APAC,Gadget,Partner,7,49.00,343.00
1057,2026-02-03,NA,Widget,Retail,4,19.99,79.96
1058,2026-01-18,NA,Gizmo,Online,10,99.00,990.00
1059,2026-02-27,APAC,Gizmo,Partner,10,99.00,990.00
1060,2026-02-11,EMEA,Doohickey,Online,5,9.50,47.50
1061,2026-02-15,EMEA,Gizmo,Retail,6,99.00,594.00
1062,2026-02-28,NA,Doohickey,Online,7,9.50,66.50
1063,2026-02-10,NA,Gadget,Partner,4,49.00,196.00
1064,2026-02-22,EMEA,Gadget,Retail,9,49.00,441.00
1065,2026-02-07,NA,Gizmo,Online,3,99.00,297.00
1066,2026-02-27,EMEA,Gadget,Retail,8,49.00,392.00
1067,2026-02-14,NA,Widget,Partner,10,19.99,199.90
1068,2026-02-02,EMEA,Widget,Retail,9,19.99,179.91
1069,2026-02-10,EMEA,Gadget,Retail,8,49.00,392.00
1070,2026-02-01,APAC,Widget,Online,2,19.99,39.98
1071,2026-01-23,NA,Doohickey,Partner,1,9.50,9.50
1072,2026-01-02,APAC,Gizmo,Online,9,99.00,891.00
1073,2026-02-07,NA,Doohickey,Retail,1,9.50,9.50
1074,2026-02-07,APAC,Gadget,Online,3,49.00,147.00
1075,2026-02-13,EMEA,Gadget,Retail,2,49.00,98.00
